iter	Passed	Remaining
0	95	95848
1	142	70961
2	187	62383
3	230	57296
4	268	53415
5	306	50847
6	345	48976
7	384	47675
8	424	46771
9	463	45896
10	503	45242
11	542	44637
12	581	44134
13	620	43694
14	659	43284
15	697	42906
16	736	42613
17	779	42544
18	823	42500
19	866	42469
20	907	42327
21	950	42275
22	1004	42655
23	1049	42695
24	1102	42988
25	1152	43158
26	1198	43205
27	1245	43251
28	1303	43659
29	1354	43799
30	1402	43851
31	1450	43867
32	1489	43659
33	1528	43437
34	1567	43219
35	1607	43047
36	1646	42850
37	1685	42669
38	1724	42488
39	1765	42360
40	1805	42223
41	1845	42084
42	1884	41941
43	1925	41832
44	1966	41736
45	2009	41676
46	2054	41666
47	2104	41748
48	2146	41661
49	2186	41539
50	2224	41400
51	2264	41281
52	2303	41164
53	2343	41060
54	2407	41360
55	2468	41603
56	2528	41829
57	2569	41729
58	2609	41627
59	2663	41735
60	2728	41997
61	2792	42248
62	2854	42456
63	2919	42696
64	2978	42850
65	3037	42984
66	3084	42957
67	3124	42822
68	3163	42679
69	3201	42536
70	3240	42404
71	3279	42274
72	3318	42141
73	3358	42021
74	3396	41896
75	3436	41778
76	3475	41664
77	3514	41544
78	3553	41425
79	3592	41311
80	3631	41200
81	3670	41087
82	3713	41030
83	3752	40917
84	3790	40804
85	3829	40696
86	3868	40593
87	3906	40489
88	3945	40385
89	3983	40281
90	4022	40185
91	4061	40089
92	4102	40010
93	4141	39920
94	4198	39997
95	4247	39992
96	4290	39939
97	4335	39900
98	4379	39853
99	4421	39793
100	4465	39747
101	4509	39698
102	4553	39654
103	4597	39606
104	4640	39557
105	4686	39526
106	4725	39439
107	4764	39353
108	4803	39263
109	4843	39186
110	4882	39100
111	4921	39016
112	4960	38935
113	4999	38852
114	5038	38772
115	5076	38689
116	5115	38605
117	5154	38531
118	5195	38464
119	5234	38389
120	5278	38344
121	5321	38298
122	5365	38254
123	5409	38212
124	5449	38146
125	5488	38072
126	5527	37997
127	5566	37925
128	5606	37854
129	5645	37784
130	5686	37718
131	5727	37665
132	5772	37631
133	5817	37596
134	5861	37558
135	5900	37486
136	5939	37417
137	5979	37348
138	6017	37275
139	6058	37216
140	6098	37150
141	6141	37105
142	6185	37069
143	6227	37021
144	6270	36973
145	6309	36905
146	6348	36837
147	6387	36768
148	6426	36703
149	6465	36637
150	6505	36576
151	6545	36516
152	6585	36459
153	6627	36406
154	6669	36361
155	6712	36318
156	6755	36275
157	6799	36236
158	6841	36188
159	6885	36147
160	6928	36104
161	6971	36064
162	7015	36024
163	7059	35983
164	7103	35945
165	7145	35900
166	7186	35845
167	7227	35791
168	7268	35738
169	7307	35678
170	7347	35621
171	7388	35569
172	7429	35513
173	7469	35457
174	7509	35401
175	7552	35358
176	7596	35322
177	7639	35277
178	7683	35239
179	7725	35194
180	7768	35153
181	7811	35110
182	7852	35058
183	7893	35005
184	7933	34948
185	7973	34896
186	8015	34848
187	8057	34800
188	8100	34757
189	8143	34715
190	8186	34673
191	8230	34634
192	8272	34590
193	8313	34540
194	8356	34496
195	8396	34443
196	8436	34388
197	8476	34332
198	8515	34274
199	8554	34217
200	8593	34159
201	8632	34102
202	8671	34045
203	8710	33986
204	8749	33929
205	8788	33874
206	8827	33816
207	8865	33757
208	8904	33701
209	8943	33645
210	8982	33590
211	9021	33532
212	9060	33476
213	9099	33421
214	9138	33367
215	9179	33318
216	9219	33266
217	9258	33211
218	9297	33157
219	9336	33103
220	9376	33050
221	9415	32997
222	9454	32943
223	9493	32888
224	9532	32834
225	9571	32780
226	9610	32726
227	9649	32672
228	9689	32621
229	9727	32566
230	9766	32513
231	9805	32459
232	9844	32406
233	9883	32353
234	9922	32300
235	9961	32249
236	10001	32197
237	10039	32142
238	10078	32090
239	10117	32038
240	10156	31986
241	10195	31934
242	10235	31884
243	10274	31834
244	10313	31782
245	10352	31730
246	10391	31680
247	10430	31628
248	10469	31575
249	10508	31524
250	10547	31474
251	10586	31422
252	10625	31371
253	10664	31322
254	10703	31270
255	10742	31219
256	10781	31169
257	10820	31120
258	10860	31072
259	10899	31022
260	10939	30973
261	10978	30925
262	11018	30877
263	11058	30828
264	11097	30778
265	11136	30730
266	11175	30680
267	11214	30630
268	11253	30581
269	11292	30531
270	11331	30482
271	11370	30433
272	11409	30382
273	11448	30334
274	11487	30285
275	11526	30236
276	11566	30188
277	11605	30139
278	11643	30090
279	11682	30039
280	11721	29991
281	11762	29947
282	11800	29898
283	11840	29850
284	11879	29803
285	11918	29755
286	11958	29708
287	11997	29659
288	12035	29610
289	12074	29561
290	12114	29515
291	12154	29469
292	12193	29422
293	12232	29374
294	12271	29326
295	12310	29278
296	12349	29231
297	12388	29183
298	12427	29136
299	12467	29090
300	12506	29042
301	12544	28994
302	12583	28946
303	12623	28901
304	12662	28853
305	12701	28805
306	12739	28758
307	12778	28710
308	12817	28663
309	12857	28617
310	12896	28570
311	12935	28523
312	12974	28477
313	13013	28430
314	13052	28383
315	13091	28337
316	13130	28291
317	13169	28244
318	13208	28197
319	13248	28153
320	13287	28106
321	13326	28060
322	13365	28013
323	13403	27965
324	13442	27919
325	13482	27873
326	13520	27827
327	13559	27781
328	13599	27735
329	13638	27689
330	13678	27646
331	13720	27605
332	13760	27561
333	13801	27520
334	13847	27487
335	13890	27450
336	13935	27416
337	13979	27380
338	14022	27342
339	14066	27304
340	14110	27268
341	14152	27228
342	14195	27191
343	14239	27154
344	14280	27111
345	14319	27065
346	14358	27019
347	14397	26974
348	14436	26928
349	14475	26883
350	14514	26836
351	14553	26792
352	14593	26747
353	14632	26702
354	14672	26658
355	14711	26613
356	14750	26567
357	14789	26521
358	14828	26476
359	14867	26430
360	14907	26387
361	14948	26345
362	14988	26302
363	15032	26265
364	15077	26230
365	15120	26192
366	15164	26155
367	15207	26117
368	15250	26079
369	15291	26036
370	15330	25991
371	15368	25945
372	15407	25899
373	15447	25855
374	15487	25812
375	15526	25768
376	15570	25731
377	15613	25692
378	15657	25655
379	15708	25629
380	15748	25586
381	15787	25541
382	15826	25496
383	15865	25450
384	15904	25405
385	15944	25362
386	15989	25326
387	16033	25290
388	16079	25255
389	16124	25219
390	16170	25186
391	16215	25151
392	16258	25110
393	16300	25071
394	16356	25051
395	16400	25014
396	16444	24977
397	16486	24936
398	16529	24897
399	16570	24855
400	16609	24810
401	16648	24765
402	16687	24720
403	16728	24679
404	16769	24636
405	16823	24613
406	16881	24597
407	16946	24589
408	16994	24556
409	17034	24513
410	17093	24497
411	17157	24487
412	17219	24474
413	17283	24464
414	17346	24452
415	17407	24437
416	17472	24427
417	17532	24411
418	17592	24393
419	17650	24375
420	17698	24340
421	17739	24297
422	17779	24252
423	17828	24219
424	17890	24204
425	17951	24188
426	18002	24158
427	18043	24114
428	18085	24072
429	18146	24055
430	18207	24037
431	18267	24018
432	18327	23999
433	18388	23981
434	18449	23963
435	18507	23941
436	18567	23921
437	18622	23894
438	18667	23855
439	18707	23809
440	18746	23762
441	18784	23714
442	18824	23668
443	18864	23623
444	18903	23576
445	18944	23531
446	18983	23484
447	19022	23438
448	19061	23392
449	19102	23347
450	19145	23305
451	19201	23279
452	19265	23263
453	19322	23237
454	19369	23200
455	19408	23154
456	19447	23107
457	19487	23062
458	19528	23017
459	19568	22971
460	19615	22934
461	19668	22903
462	19727	22880
463	19782	22851
464	19825	22810
465	19864	22763
466	19904	22717
467	19943	22670
468	19982	22623
469	20021	22577
470	20060	22530
471	20099	22484
472	20138	22437
473	20179	22393
474	20219	22347
475	20261	22304
476	20309	22268
477	20368	22242
478	20430	22221
479	20483	22190
480	20544	22167
481	20607	22147
482	20659	22113
483	20721	22091
484	20785	22071
485	20842	22043
486	20899	22014
487	20958	21989
488	21005	21950
489	21045	21904
490	21085	21858
491	21136	21823
492	21194	21796
493	21253	21769
494	21310	21741
495	21350	21694
496	21389	21647
497	21428	21600
498	21467	21553
499	21506	21506
500	21549	21463
501	21588	21416
502	21626	21368
503	21666	21322
504	21706	21277
505	21746	21230
506	21785	21183
507	21824	21137
508	21863	21090
509	21902	21043
510	21943	20998
511	21981	20951
512	22020	20904
513	22059	20858
514	22098	20811
515	22138	20765
516	22178	20720
517	22218	20674
518	22258	20628
519	22309	20593
520	22355	20553
521	22399	20511
522	22446	20472
523	22492	20432
524	22537	20390
525	22581	20348
526	22625	20307
527	22671	20266
528	22718	20227
529	22769	20192
530	22819	20155
531	22866	20115
532	22912	20074
533	22959	20035
534	22999	19989
535	23038	19943
536	23077	19897
537	23115	19850
538	23155	19804
539	23195	19759
540	23236	19714
541	23285	19676
542	23335	19639
543	23381	19599
544	23427	19558
545	23472	19517
546	23515	19474
547	23557	19430
548	23612	19397
549	23660	19358
550	23701	19313
551	23745	19271
552	23786	19227
553	23830	19185
554	23875	19143
555	23917	19099
556	23957	19053
557	23996	19007
558	24035	18961
559	24074	18915
560	24113	18869
561	24163	18831
562	24221	18800
563	24279	18769
564	24334	18735
565	24375	18690
566	24421	18650
567	24481	18619
568	24549	18595
569	24610	18565
570	24669	18534
571	24727	18502
572	24776	18463
573	24816	18417
574	24871	18383
575	24932	18353
576	24993	18322
577	25039	18281
578	25097	18249
579	25160	18219
580	25217	18186
581	25263	18144
582	25302	18098
583	25343	18052
584	25383	18007
585	25433	17968
586	25493	17936
587	25553	17904
588	25603	17865
589	25655	17828
590	25710	17793
591	25771	17761
592	25818	17720
593	25873	17684
594	25931	17650
595	25989	17617
596	26036	17575
597	26093	17540
598	26152	17507
599	26214	17476
600	26274	17443
601	26331	17408
602	26380	17368
603	26420	17322
604	26459	17275
605	26498	17228
606	26538	17182
607	26577	17135
608	26618	17089
609	26658	17044
610	26697	16997
611	26737	16951
612	26776	16904
613	26816	16858
614	26854	16811
615	26893	16764
616	26933	16718
617	26972	16672
618	27012	16626
619	27051	16579
620	27090	16533
621	27129	16487
622	27169	16440
623	27208	16394
624	27248	16349
625	27288	16303
626	27343	16266
627	27404	16233
628	27464	16199
629	27509	16156
630	27565	16119
631	27624	16084
632	27682	16049
633	27730	16008
634	27770	15962
635	27808	15915
636	27848	15869
637	27887	15823
638	27927	15777
639	27966	15731
640	28016	15690
641	28074	15655
642	28134	15620
643	28183	15579
